Rank,Title,Year of release,Number of Episodes,Rating,Description,Genre,Tags,Actors,,
#285,Queenmaker,2023,11,8.3,"After a tragic accident, a skilled fixer, Hwang Do Hee, uses her expertise to turn civil rights lawyer Oh Kyung Sook into the next mayor of Seoul and take down her former employer. Hwang is a top consultant at Eunsung Group, using her knowledge of the owner?ôs family to manage risks, while Oh is a determined labor rights lawyer and popular YouTuber. Despite their different backgrounds, the two women join forces to create a just and truthful world.","Business, Drama, Political","Female Centered Plot, Fight For Justice, Conglomerate, Power Struggle, Businesswoman Female Lead, Influencer Female Lead, Politician Female Lead, Foundation Director Female Lead, Lawyer Female Lead, Determined Female Lead","Kim Hee Ae, Moon So Ri, Ryu Soo Young",,
#286,King the Land,2023,16,8.2,"Heir Goo Won, known for his brilliance and charm, despises fake smiles but is captivated by Cheon Sa Rang?ôs genuine one. As they bond over their shared desire for true happiness, Goo Won is thrown into an inheritance battle at King of the Land, an exclusive lounge owned by The King Group. Cheon Sa Rang, with her radiant smile, lands a job at King Hotel, a place full of childhood memories. However, she must set those memories aside and quickly adapt to the challenges and prejudices she faces at work.","Comedy, Romance","Hotel Setting, Male Chases Female First, Best Friends' Relationship, Hardworking Female Lead, Workplace Setting, Rich Male Lead, Secondary Couple, Opposites Attract, Sibling Rivalry, Hotel Management ","Lee Jun Ho, Im Yoon Ah",,
#287,Celebrity,2023,12,8.2,Fame. Money. Power. One young woman fights to become the next hottest celebrity in the glamorous yet scandalous world of influencers in Seoul.,"Thriller, Mystery, Drama","Social Media, Slight Romance, Rich Male Lead, Influencer Female Lead, Famous Female Lead, Secret, Suspense, Revenge, Influencer Supporting Character, Nonlinear Narrative","Park Gyu Young, Kang Min Hyuk, Lee Chung Ah, Lee Dong Gun, Jeon Hyo Sung",,
#288,Agency,2023,16,8.2,"An office drama depicting a woman who became the first female executive in her group to make her career beyond her first to the highest position. In the background of an advertising agency, it contains realistic stories of the daily lives of those who live a life like war and behind the scenes in the industry.","Business, Life, Drama","Workplace Setting, Office Setting, Teamwork, Hardworking Female Lead, Mental Illness, Cold Female Lead, Successful Female Lead, Orphan Female Lead, Office Worker Female Lead, Gender Inequality ","Lee Bo Young, Jo Sung Ha, Son Na Eun, Han Joon Woo",,
#289,Crash ,2024,12,8.1,"It depicts the story of the Traffic Crime Investigation Team (TCI), which tracks only car crimes such as insurance fraud, retaliatory driving, self-harm blackmail, leka, call jump, and autonomous driving. Cha Yeon Ho, a rational individualist from KAIST, and Min So Hee, a traffic investigation ace with cool judgment and warm sensitivity, track unusual traffic crime cases with the traffic crime investigation team to uncover the truth behind them.","Action, Thriller, Mystery, Comedy","Police Department Setting, Investigation, Teamwork, Teammates' Relationship, Co-workers' Relationship, Martial Artist Female Lead, Analyst Male Lead, Police Inspector Supporting Character, Senior-Junior Relationship, Chief Of Police Supporting Character ","Lee Min Ki, Kwak Sun Young, Heo Sung Tae",,
#290,The Queen Who Crowns,2025,12,8.1,"Queen Won Gyeong, born to Min Je in the Goryeo period, comes from a prestigious family of high-ranking officials. She marries Yi Bang Won (Prince Jeong An), son of King Tae Jo, founder of the Joseon dynasty. When King Tae Jo names his second son, Yi Bang Gwa, as the successor, Lady Min and her husband plot to make Yi Bang Won the next king. After Yi Bang Won becomes King Tae Jong, he takes multiple concubines, causing tension with Queen Won Gyeong. As her relationship with the king worsens, King Tae Jong seeks to control her and her family to strengthen his authority.","Historical, Romance, Drama, Political","Palace Setting, King Male Lead, Queen Female Lead, Taejong, Inferiority Complex, Royalty, Joseon Dynasty, Based On A True Story, Married Female Lead, Married Male Lead ","Lee Hyun Wook, Lee Yi Dam, Lee Shi Ah, Cha Joo Young",,
#291,Miss Night and Day,2024,16,8.1,"Lee Mi Jin is a job-seeker who has been exhausted from working various part-time jobs and preparing for a job for a long time. One day, due to an incident, she ages into her 50s, causing her to live as a 50-year-old by day and rejuvenate into her 20s by night. She is undeterred by this absurd tragedy and uses it as an opportunity to knock on the door of a job. With her wealth of experience from years of job hunting in her 20s and her seasoned 50s, she succeeds in landing the job she's always wanted. Meanwhile, Gye Ji Woong, a sensitive and cranky perfectionist prosecutor, finds himself unwillingly involved with Lee Mi Jin day and night...","Mystery, Comedy, Romance, Fantasy","Double Identity, Investigation, Prosecutor Male Lead, Intern Female Lead, Unemployed Female Lead, Job Seeking, Father-Daughter Relationship, Mistaken Identity, Student Female Lead, Part-time Worker Female Lead ","Jung Eun Ji, Choi Jin Hyuk, Baek Seo Hoo, Lee Jung Eun",,
#292,Our Blooming Youth,2023,20,8.1,"Min Jae I, a gentle and poised daughter of a prominent family, is engaged to the son of a powerful State Councillor. Devoting herself to learning everything she needs to know to become a good wife and mother, Jae I dutifully prepares for the future. Sadly, destiny has other plans for her future. Just days before her wedding, tragedy strikes when her family is brutally murdered, and Jae I is falsely accused of the crime. Amidst the turmoil, she crosses paths with the cursed crown prince, Yi Hwan, who agrees to help her in exchange for her assistance in breaking his curse. As they navigate their challenges together, Jae I and Yi Hwan begin to develop unexpected feelings for each other. But their love faces countless obstacles, including their pasts, their uncertain futures, and the threat of the curse. Can they overcome these challenges and find a way to be together?","Historical, Mystery, Romance, Drama","Prince Male Lead, Wrongfully Accused, Investigation, Cross-Dressing, Slow Burn Romance, Star Crossed Lovers, Slight Comedy, Slow Burn Story, Bantering Relationship, Curse ","Heo Won Seo, Lee Tae Sun, Yoon Jong Seok, Pyo Ye Jin, Jeon So Nee, Park Hyung Sik",,
#293,True to Love,2023,14,8.1,"The series follows the romantic journey of Yeon Bo Ra, a celebrated love coach and successful author of romance novels, and Lee Soo Hyuk, a charming man who grapples with matters of the heart. As a discerning publishing planner, Soo Hyuk is not easily impressed and initially has a negative impression of Bo Ra. However, their lives become entangled unexpectedly, and he becomes increasingly drawn to her. Meanwhile, Han Sang Jin, Soo Hyuk's friend and business associate, heads the Jinri book publishing company.","Comedy, Romance, Life, Melodrama","Heartbreak, Love/Hate Relationship, Nice Male Lead, Best Friends' Relationship, Multiple Couples, Enemies To Lovers, Writer Female Lead, Inner Monologue, Jealousy, Sibling Rivalry ","Yoo In Na, Yoon Hyun Min, Joo Sang Wook, Hwang Chan Sung",,
#294,Doctor Cha,2023,16,8.1,"Cha Jung Sook is married to Seo In Ho, who works as a chief surgeon at a university hospital. He has a strict, sensitive, and thoroughgoing personality. Cha Jung Sook has been a full-time housewife for 20 years, giving up her career as a doctor during her medical resident years. After all those years, she decides to restart her medical resident course.","Comedy, Life, Drama, Medical","Starting Over, Hospital Setting, Rivals To Enemies, Unhealthy Mains' Relationship, Extramarital Affair, Loveless Marriage, Family Relationship, Second Chance, Mean Male Lead, Rivalry","Uhm Jung Hwa, Kim Byung Chul, Myung Se Bin, Min Woo Hyuk",,
#295,The Secret Romantic Guesthouse ,2023,18,8.1,"Yoon Dan Oh had enjoyed a comfortable life as the beloved youngest daughter of a well-off family, but no longer. Now the family breadwinner, she runs the Ihwawon Inn. Current guests are scholars taking the civil service entrance exam in the hopes of becoming high-ranking officials. Among them are Kang San, Kim Si Yeol, and Jeong Yoo Ha, who all have deep secrets. They and Yoon Dan Oh will share information and cooperate to find Lee Seol, who disappeared 13 years ago.","Historical, Mystery, Romance, Drama","Hidden Identity, Joseon Dynasty, Teamwork, Friendship, Investigation, Childhood Connection, Secret, Boarding House Setting, Debt Passed To Children, Scholar Male Lead ","Shin Ye Eun, Ryeoun, Kang Hoon, Jung Gun Joo",,
#296,Unmasked ,2025,12,8,"A comedy-drama that tells the story of an investigative reporting crew centered on the team leader, Trigger, who is full of a sense of justice, and the PD, a fierce individualist who uncovers the truth behind mysterious events and saves a program that is on the verge of being abolished.","Thriller, Mystery, Comedy, Drama","Broadcasting Industry, Workplace Setting, Workplace Politics, Producer Male Lead, Cold Case, Journalist Female Lead, Reporter Female Lead, Office Rivals, Brave Female Lead, Stalking ","Kim Hye Soo, Jung Sung Il, Joo Jong Hyuk, Shin Jung Keun",,
#297,The Whirlwind ,2024,12,8,"Park Dong Ho is the prime minister of South Korea. He wants to punish the corrupt president, who colludes with powerful family owned corporations called chaebols, and change the world of politics. Jung Soo Jin is the deputy prime minister for economic affairs. She confronts Park Dong Ho and a fierce political strife ensues.","Thriller, Mystery, Drama, Political","Political Intrigue, Power Struggle, Corruption, Suspense, Prime Minister Male Lead","Kim Hee Ae, Sul Kyung Gu",,
#298,The Midnight Studio,2024,16,8,"In a quiet, forgotten corner of the city lies a mysterious photo studio, one that caters exclusively to an unusual clientele: ghosts. Seo Ki Joo, the 7th generation owner, is bound by a family curse to run this spectral business. Armed with a special camera, Ki Joo fulfils the last desires of the departed, capturing their images and granting them peace to move on. But his family?ôs legacy comes with a dark fate?înone have lived beyond their 35th birthday. Ki Joo?ôs life takes an unexpected turn when Han Bom, a passionate lawyer with an unyielding sense of justice, enters the picture. Recently fired from her position as a prosecutor for being too relentless in her pursuit of truth, Bom now struggles to make ends meet. In a twist of fate, she forms a partnership with Ki Joo, and together they bring justice for both the living and the dead. The studio is also home to two unique employees: Assistant Manager Go, whose role is to attract ghostly customers, and Baek Nam Gu, a former cop who handles everyday chores. Together, this unlikely team navigates the delicate balance between the living and the dead, uncovering hidden truths and resolving unfinished business for their ethereal clients.","Romance, Drama, Fantasy","Supernatural, Curse, Photographer Male Lead, Lawyer Female Lead, Ghost-seeing Male Lead, Lonely Male Lead, Passionate Female Lead, Affectionate Mains' Relationship, Ghost-seeing Female Lead, Bickering Mains' Relationship ","Joo Won, Kwon Na Ra, Yoo In Soo, Eum Moon Suk",,
#299,Blood Free,2024,10,8,"Ending millions of years of humans eating animal meat, BF now dominates the genetically engineered cultured meat market. There are people inside BF and outsiders who begin to have doubts about the path taken by BF CEO Yun Ja Yu. Yun Ja Yu founded BF with On San, who has a Ph.D. in physiology. Meanwhile, after graduating from the Naval Academy, Woo Chae Un served in the army, but he now works as a bodyguard.","Thriller, Drama, Sci-Fi","Biotechnology, Food Industry, Artificial Intelligence, Genetic Engineering, Experiment, Rich Female Lead, Bodyguard Supporting Character, Bodyguard Male Lead, Company President (CEO) Female Lead, Multiple Mains ","Ju Ji Hoon, Han Hyo Joo, Lee Hee Joon, Lee Moo Saeng, Park Ji Yeon",,
#300,Missing Crown Prince,2024,20,8,"A Joseon-era version of a romantic comedy about a crown prince who is mistakenly kidnapped by the family of the woman who he has been pledged to marry. While on the run for their lives, romance blossoms between the two.","Historical, Comedy, Romance, Political","Age Gap [Real Life], Responsible Male Lead, Slight Mystery, Protective Male Lead, Warm Male Lead, Strangers To Lovers, Loyal Friend, Brothers Love Same Woman, Long Time Crush, Physically Strong Male Lead ","Suho, Hong Ye Ji, Myung Se Bin, Kim Min Kyu, Kim Joo Heon",,
#301,Brain Works,2023,16,8,"Sin Ha Ru works as a neuroscientist. He comes from a family that has had doctors for 3 generations and he is wealthy from inherited property. Sin Ha Ru is a confident person who acts and speaks according to his convictions, but he has no mercy for people he views as scum.Geum Myeong Se works as a detective. He acts and speaks surly around people, which causes people unfamiliar with him to assume he might be a corrupt cop. In reality, Geum Myeong Se is a kind and righteous detective. He was also once married to Kim Mo Ran. She has a particularly strong libido.Sin Ha Ru and Geum Myeong Se solve criminal cases together with the help of hypnotic investigator Seol So Jeong.","Mystery, Comedy","Crime Solving Duo, Polar Opposites, Teamwork, Aggressive Male Lead, Investigation, Smart Male Lead, Murder, Rich Male Lead, Psychology, Chronic Illness","Ye Ji Won, Kwak Sun Young, Cha Tae Hyun, Jung Yong Hwa",,
#302,Captivating the King,2024,16,7.9,"Prince Yi In, held hostage by the Qing Dynasty, is betrayed by his brother, King Yi Seon, who once cherished him. Heartbroken, Yi In endures emotional torment. He encounters an enigmatic baduk player and becomes captivated by her. Eventually, Yi In ascends to the throne but remains emotionally weak. Kang Hui Su, a rising baduk star, falls for him but becomes a spy, seeking revenge against the king.","Historical, Romance, Drama, Melodrama","Political Intrigue, Hidden Identity, Palace Setting, Joseon Dynasty, Go Game, Revenge, Double Identity, Espionage, Power Struggle, Mystery","Jo Jung Suk, Shin Sae Kyeong, Lee Shin Young",,
#303,For Eagle Brothers,2025,50,7.9,"Ma Gwang Suk works as a section chief at the Shiwan Post Office. She is 45 years old and single. She meets O Jang Su, who is CEO of Eagle Brewery, and they decide to get married. But, only 10 days after their marriage, O Jang Su gets into an accident and dies. Ma Gwang Suk takes over the brewery and becomes the breadwinner for her 4 younger brothers-in-law. She has a cheerful and lively personality, which helps her persevere. Han Dong Seok is the chairman of LX Hotel. He was born into a wealthy family and has never lacked anything, but having lost his wife 15 years ago, he lives his life in loneliness. He is also arrogant and has a clear opinion on what he thinks is right or wrong. He meets Ma Gwang Suk.","Comedy, Romance, Family","Supportive In-Law, Chairman Male Lead, Widow Female Lead, Widower Male Lead, Single Father Male Lead, Successful Male Lead, Smart Male Lead, Death, Family Secret, Multiple Couples ","Uhm Ji Won, Ahn Jae Wook, Choi Dae Chul, Kim Dong Wan, Yoon Park, Lee Seok Gi",,
#304,Battle for Happiness ,2023,16,7.9,"A suspense drama depicting mothers engaged in a fierce social media battle to destroy each others' happiness for their own, to free themselves from oppression, hurt, and secrets, and regain their true selves.","Thriller, Mystery, Drama","Female Centered Plot, Office Worker Supporting Character, Office Worker Female Lead, Child Supporting Character, Teacher Supporting Character, Attorney Supporting Character, Doctor Supporting Character, Hatred, Flashback To Past, Social Media (","Park Hyo Joo, Lee El, Jin Seo Yun, Cha Ye Ryun",,
#305,Joseon Attorney: A Morality,2023,16,7.9,"Kang Han Su, a cunning lawyer who exploits clients for personal gain, gains a reputation as a hero among the public. Over time, he matures into an ethical lawyer, with his client Yi Yun Ju?îinitially seeking revenge?îbecoming an ally in his mission to uphold justice and defend the innocent. This transformation highlights Kang?ôs growth both professionally and personally.","Historical, Law, Romance, Drama","Joseon Dynasty, Revenge, Adapted From A Webtoon, Princess Female Lead, Injustice, Lawyer Male Lead, Historical Fiction, Orphan Male Lead, Double Identity, Character Development","Woo Do Hwan, Bona, Cha Hak Yeon",,
#306,Delightfully Deceitful,2023,16,7.8,"Clever con artist Lee Ro Um suffers from a distinct lack of empathy. One day, she is falsely implicated on charges of killing her estranged parents. She is exonerated after 10 years with the help of a passionate, highly empathetic lawyer, Han Moo Young. The two come to form an unlikely alliance to fight against wrongdoers and exact revenge on them.","Comedy, Crime, Drama","Revenge, Polar Opposites, Trauma, Swindler Female Lead, Teamwork, Smart Female Lead, Fraud, Breaking The Fourth Wall, Nice Male Lead, Lawyer Male Lead ","Chun Woo Hee, Kim Dong Wook, Yoon Park, Park So Jin",,
#307,A Killer Paradox,2024,8,7.8,"The story follows Lee Tang, an ordinary college student, who gets into an argument with a customer during a part-time job at a convenience store at night, unconsciously swings a hammer, and kills him. Suffering from guilt and fear of murder, Lee Tang learns one day that the person he killed was a serial killer and slowly realizes that he has a supernatural ability to identify ""bad seeds"". He soon becomes a dark hero who punishes people who committed unethical evils in the past.","Thriller, Mystery, Psychological, Comedy","Black Comedy, Sexual Content, Morally Ambiguous Male Lead, Detective Male Lead, Dark Fiction, Nudity, Adapted From A Webtoon, Dog, Violence, Investigation ","Choi Woo Shik, Son Suk Ku, Lee Hee Joon",,
#308,Numbers ,2023,12,7.8,"Ho Woo is the first and only high school graduate accountant to join the top accounting firm in the country. With his outstanding memory, observation, adaptation, and sense of justice that ordinary accountants rarely have, he is more than a perfect employee. Je Kyun and Seung Jo are father and son, and Je Kyun is the Vice President of the accounting firm. Despite the fact that he is well-known for his generous personality, he is a man who does not hesitate to get what he wants. Seung Jo is the ace accountant of the firm who's quite the opposite of Ho Woo. These two work together with numbers to achieve their own goals. Their goals are different, but they are headed towards the same target. Will they be able to serve justice in this accounting firm?","Action, Thriller, Mystery, Drama","Accountant Male Lead, Corruption, Smart Male Lead, Workplace Setting, Office Setting, Bromance, Workplace Politics, Injustice, Revenge, High School To Working Life ","L, Choi Jin Hyuk, Choi Min Soo, Yeon Woo, Kim Yoo Ri",,
#309,Delivery Man,2023,12,7.8,"Seo Young Min is a taxi driver who ends up with an unusual clientele - ghosts. Strangely, he finds himself exclusively ferrying these otherworldly passengers and granting their wishes. One day, Kang Ji Hyun boards Seo Young Min's taxi, but with a catch: she has no recollection of her past life and is unable to leave the vehicle. She takes it upon herself to become Seo Young Min's taxi's sales manager. Together, Seo Young Min and Kang Ji Hyun use the taxi to fulfill the wishes of various ghosts, even taking on the task of tracking down a serial killer. With the assistance of Do Kyu Jin, a handsome and diligent ER doctor, they try to prevent sinister events from occurring in the hospital.","Mystery, Comedy, Romance, Supernatural","Taxi Setting, Taxi Driver Male Lead, Ghost Female Lead, Ghost, Older Woman/Younger Man, Death, Ghost-seeing Male Lead, Amnesia, Investigation, Death Of A Mother","Yoon Chan Young, Bang Min Ah, Kim Min Seok",,
#310,The Witch ,2025,10,7.7,"The story of a young woman with a mysterious and dangerous secret. She's called a 'witch' by some, and a young man she went to school with years before tries to find out why. But he must be careful as he quietly gathers information to solve the mystery. In addition to the danger factor, he must also guard his heart as feelings he had for her long ago resurface.","Mystery, Romance, Drama","Cursed Female Lead, Unlucky Female Lead, Smart Male Lead, Investigation, Data Miner Male Lead, False Rumor, Difficult Adulthood, Translator Female Lead, Lonely Female Lead, Quiet Female Lead","Park Jin Young, Roh Jeong Eui",,
#311,Payback: Money and Power,2023,12,7.7,"?úPayback??follows the revenge story of a group of people?îincluding Eun Yong, a money trader?îwho refuses to remain silent in the face of unjust authorities and fight against a cartel conspiring with the law.","Thriller, Mystery, Business, Drama","Uncle-Nephew Relationship, Finance Industry, Fight For Justice, Corruption, Money-Obsession, Revenge, Rich Male Lead, Business Industry, Former Prosecutor Female Lead, Co-workers' Relationship ","Kang Yoo Seok, Moon Chae Won, Lee Sun Kyun, Park Hoon",,
#312,The Escape of the Seven: Resurrection ,2024,16,7.7,"Through the ""Bobble Incident"" that started the revenge and ended in blood, Do Hyuk became the culprit and lost his life. However, he didn't die. Do Hyuk returns with seething vengeance to expose Matthew's true identity to everyone. Kang Ki Tak and the unknown aide who goes by ""Medusa"" appear to help him. Matthew has no intention of stopping. With his fake identity, Matthew has the whole world crazy about him. He endeavors to be the epitome of his phony identity and take over Sungchan Group, the company his father raised with his life. Only then will his revenge be complete. The seven wicked associates will now regroup to play the game of revenge that has reset in desperation. Some will be out for revenge, some for power, and some will hide their true goal in a new game where they will deceive and betray each other. How will the fates of the Seven reborn from lies end?","Thriller, Mystery, Drama","Revenge, Greed, Betrayal, Suspense, Hatred, Picaresque, Secret, Survival, Investigation, Melodrama","Uhm Ki Joon, Hwang Jung Eum, Lee Joon, Lee Yoo Bi, Shin Eun Kyung, Yoon Jong Hoon",,
#313,Lies Hidden in My Garden,2023,8,7.7,"Moon Ju Ran, a housewife married to a doctor, lives a peaceful life in her family?ôs wealthy home. Her routine is disrupted when she notices a strange smell in the backyard, prompting her to investigate her husband and meet Chu Sang Eun. Chu Sang Eun, from a poor background, lives in a shabby apartment with her abusive husband, Kim Yun Beom, who works for a pharmaceutical company. Her life is filled with hardship until she receives news of her husband's death.","Thriller, Mystery, Psychological, Drama","Rich Woman/Poor Woman, Post-traumatic Stress Disorder (PTSD), Perfectionist Male Lead, Psychological Manipulation, Perfectionist Female Lead, Extortion, Gaslighting, Obsessive Male Lead, Depression, Domestic Violence ","Kim Tae Hee, Im Ji Yeon, Kim Sung Oh, Choi Jae Rim",,
#314,"Mi Na, Did You Change Your Profile Picture Again?",2024,7,7.7,"The humorous and realistic tale of Mina, a 29-year-old single woman questioning the direction of her life. As her friends settle down in marriage and she navigates through failed relationships in her twenties, Mina finds herself frequently switching between boyfriends and profile pictures. Will she rediscover the capacity to love?",Romance,"Miniseries, Web Series","Kim Tae Young, Lim Hyoun Soo, Lee Tae Hyung, Moon Xion",,
#315,Stealer: The Treasure Keeper,2023,12,7.7,"A professional thief, ""Skunk"" (real name Hwang Dae Myung), forms an unofficial team, ""Team Karma,"" to recover stolen cultural assets, embarking on a massive heist to retrieve 30 trillion won worth of treasures and spiritual beads that promise eternal life. The mission is illegal yet morally justified, as they confront a ruthless group. By day, Dae Myung is a modest civil servant at the Cultural Heritage Administration, but by night, he?ôs a daring thief. As the Seoul Metropolitan Police recovers missing assets, both of his lives begin to unravel.","Action, Adventure, Mystery, Comedy","Double Identity, Thief Male Lead, Heist, Staged Death, Physically Strong Female Lead, Physically Strong Male Lead, Emotionally Strong Female Lead, Cultural Heritage, Police Inspector Female Lead, Police Inspector Male Lead ","Lee Joo Woo. Jo Han Chul, Kim Jae Won, Choi Hwa Jung, Lee Deok Hwa, Joo Won",,
#316,Love Song for Illusion,2024,16,7.6,"Crown Prince Sajo Hyun secretly works as a fashion designer in a downtown boutique, hiding his royal identity. He's haunted by a deep childhood wound from his harsh father, Sajo Seung. Hyun also has another persona, Ak Hee, a charming seducer cursed with pain from any physical touch. Yeon Wol, the royal heir of the fallen Yeon Dynasty, lives a life full of twists?îgoing from assassin to concubine. Disguised as Gye Ra, she seeks revenge for her family, but after an assassination attempt on the king goes wrong, she wakes up with no memory of her past.","Historical, Romance, Fantasy","Dissociative Identity Disorder, Revenge, Adapted From A Webtoon, Concubine Female Lead, Manipulative Male Lead, Historical Fiction, Trauma, Curse, Physically Strong Female Lead, Physically Strong Male Lead","Park Ji Hoon, Hong Ye Ji, Hwang Hee, Ji Woo",,
#317,The 8 Show,2024,8,7.6,"Eight severely indebted people take part in a weird game that changes their lives forever. The rules seem simple; spend time and survive in order to earn a huge amount of money... but in reality, it turns out to be much harsher than it seemed at first.","Thriller, Mystery, Psychological, Drama","Sadism, Suspense, Survival, Adapted From A Webtoon, Multiple Mains, Social Commentary, Death, Difficult Adulthood, Graphic Violence, Debt ","Ryu Jun Yeol, Chun Woo Hee, Park Jeong Min, Lee Yeol Eum, Park Hae Joon, Lee Joo Young",,
#318,Oasis,2023,16,7.6,"In 1980s South Korea, amidst political unrest, two high school friends, Lee Du Hak and Choi Cheol Ung, bond with O Jeong Sin, a transfer student from Seoul. As they grow closer, both boys fall for her, igniting a love rivalry. Tragedy strikes when Lee Du Hak's family is caught in an incident, leading him down a path of violence and revenge. With political turmoil escalating, can love help heal the rift between the friends?","Romance, Youth, Drama, Melodrama","1980s, 1990s, Gangster Male Lead, Secret, Family Secret, Poor Male Lead, Transfer Student Female Lead, Student Male Lead, School Setting, Childhood Friends' Relationship","Jang Dong Yoon, Seol In Ah, Choo Young Woo",,
#319,The Midnight Romance in Hagwon,2024,16,7.6,"After resigning from a big company, Lee Joon Ho returns to the academy where he'd studied, this time as an instructor. He's motivated by his lingering fixation on his first love, academy teacher Seo Hye Jin. Seo Hye Jin has been a Korean language instructor for the past fourteen years. She became a star after the legendary incident labelled ?úMiracle of Daechi.??Just when her life begins to feel settled, former pupil and troublemaker Lee Joon Ho, whom she'd helped get into a prestigious university ten years previously, shows up and stirs up chaos.","Romance, Life, Melodrama","Education Industry, Co-workers' Relationship, Workplace Setting, Teenager Supporting Character, Older Woman/Younger Man, Age Gap [Drama Life], Age Gap [Real Life], Mature Female Lead, Student Supporting Character, School Setting ","Jung Ryeo Won, Wi Ha Joon",,
#320,Branding in Seongsu,2024,24,7.6,"So Eun Ho is the oldest intern in charge of the marketing agency and is known for his cuteness and youthful appearance. Despite living life as a 'YOLO' enthusiast, he unexpectedly entered the job market and began his internship. He clashes with his boss, the workaholic Kang Na Eon, at every turn. Succeeding in every project she takes on, Kang Na Eon is the youngest marketing team leader and a living legend in the industry. She started out as a public recruiter, climbing the corporate ladder to become an executive, all while sacrificing friendships and love for success. However, her life takes an unexpected turn when she becomes entangled in an incident with an intern she initially thought was foolish, completely turning her world upside down overnight. What will unfold as the souls of two people who hated each other because of their very different values swap bodies following an unexpected kiss?","Thriller, Romance, Supernatural","Bickering Mains' Relationship, Body Swap, Businesswoman Female Lead, Workaholic Female Lead, Age Gap [Real Life], Warm Man/Cold Woman, Gender Swap, Smart Female Lead, Older Woman/Younger Man, Identity Swap ","Kim Ji Eun, Lomon, Yang Hye Ji, Kim Ho Young",,
#321,The Scandal of Chun Hwa,2025,10,7.6,"Set in the fictional country of Dongbangguk. Hwa Ri is youngest princess of the royal family. She grew up with an independent mindset. When she reaches the age to marry, she decides to find her husband by herself. She comes out of the palace to meet her suitors. She also tries to find the person who painted her face as the main female character in a series of erotic chunhwa paintings. Meanwhile, Choi Hwan is first on the list of potential husbands for Princess Hwa Ri. He is the wealthiest merchant and possesses a handsome appearance. He looks like a man who enjoys women and money, but he seems to hide a secret.","Historical, Romance, Drama","Princess Female Lead, Historical Fiction, Royalty, Playboy Male Lead, Miniseries, Sexual Content, Nudity, Web Series, Rich Male Lead, Joseon Dynasty ","Go A Ra, Chang Ryul",,
#322,Pale Moon,2023,10,7.6,"Yoo Yi Hwa lives with her husband, who is indifferent to her. Yoo Yi Hwa's life as a housewife is comfortable but boring. She begins to work at a bank as a contract worker. While working at the bank, she regains her confidence. But, Yoo Yi Hwa begins to steal money from her clients.","Thriller, Mystery, Romance, Drama","White-Collar Crime, Student Male Lead, Childhood Friends' Relationship, Bank Setting, Bank Teller Supporting Character, Bank Teller Female Lead, Married Female Lead, Age Gap [Drama Life], Age Gap [Real Life], Doctor Supporting Character","Kim Seo Hyung, Yoo Sun, Seo Young Hee, Lee Si Woo",,
#323,Bitch X Rich,2023,10,7.5,Baek Je Na is a third-generation conglomerate and a gold spoon of the highest class at Cheongdam International High School. Kim Hye In grew up in poverty and is offered a chance to study at the Cheongdam International High School in exchange for her silence on a murder she witnessed. Cheongdam International High School is a homicide mystery that follows Je Na?ôs rivalry with Kim Hye In as they are pitted against each other in mental warfare.,"Thriller, Mystery, Youth, Drama","Transfer Student Female Lead, Student Female Lead, Student Male Lead, School Setting, Teenager Female Lead, Teenager Male Lead, Rich Female Lead, Poor Female Lead, Miniseries, Death ","Lee Eun Saem, Ye Ri, Lee Jong Hyuk, Yoo Jung Hoo",,
#324,Su Ji & U Ri ,2024,128,7.5,"Jin Soo Ji is a superstar psychiatrist at Haedeul Hospital, juggling fame and a hectic schedule of TV shows, book tours, and fan events, leaving her with barely three hours of sleep a day. Her seemingly perfect life takes a turn when Chae Woo Ri, a new doctor, joins the team. Talented and driven by justice, Woo Ri sees Soo Ji as selfish and ambitious, sparking constant clashes. But when scandals force Soo Ji to disappear, Woo Ri begins to see her struggles in a new light. Can their rocky relationship take a surprising turn?","Romance, Drama, Family, Medical",": Enemies To Lovers, Nice Male Lead, Love Triangle, Estranged Sibling, Ex Comes Back, Half-Sibling Rivalry, Strategic Planning Director Male Lead, Jealous Sibling, Resident Doctor Female Lead, Bickering Mains' Relationship ","Ham Eun Jung, Baek Sung Hyun, Oh Hyun Kyung, Kang Byul, Shin Jung Yoon",,
#325,Family: The Unbreakable Bond ,2023,12,7.5,"Kwon Do Hun is an expert sniper and a secret agent working for the National Intelligence Service. To conceal his true identity, he lives a double life as a regular trading company employee, keeping even his wife, Kang Yu Ra, in the dark. Though he is occupied with his work, Kwon Do Hun cherishes his wife deeply. Meanwhile, Kang Yu Ra, a dedicated homemaker, harbors a secret. Their tranquil existence is thrown into turmoil when Tae Gu emerges, posing a threat to their carefully crafted fa√ßade.","Action, Thriller, Comedy, Drama","Spy Male Lead, Married Life, Double Identity, Romance, Hidden Identity, Family Struggle, Trader Male Lead, Sniper Male Lead, Married Female Lead, Married Male Lead ","Jang Hyuk, Jang Na Ra, Chae Jung An, Kim Nam Hee",,
